"FACULTY_NAME","FACULTY","COURSETITLE","SUBJECT","COURSE_NUMBER","CREDIT","COURSE_TITLE","SECTION","INSTRUCTOR_NAME"
"College universitaire Glendon","GL","Academic Foundations: Digital Media Literacy in En","ENSL","2700","6","English Digital Media Literacy","M","Ian , Martin"
"College universitaire Glendon","GL","Advanced Experimental Design","PSYC","4240","3","Advanced Experimental Design","M","Lina , Musa"
"College universitaire Glendon","GL","Advanced Phonetics and Phonology","LIN","4709","3","Advanced Phonetics and Phonology","M","Bruce , Connell"
"College universitaire Glendon","GL","Advanced Seminar","PSYC","4230","3","Advanced Seminar","A","Josee , Rivest"
"College universitaire Glendon","GL","Advanced Seminar","PSYC","4230","3","Advanced Seminar","A","Lisa , Fiksenbaum"
"College universitaire Glendon","GL","Advanced Seminar","PSYC","4230","3","Advanced Seminar","M","Lisa , Fiksenbaum"
"College universitaire Glendon","GL","Advanced Translation Practicum/Travaux pratiques a","TRAN","4510","3","TRAN practicum/Travaux pratiques en TRAN","M","Ugo G. , Ellefsen"
"College universitaire Glendon","GL","American Foreign Policy","POLS","4610","3","American Foreign Policy","M","Dan , Berbecel"
"College universitaire Glendon","GL","American Government and Politics","POLS","3720","3","American Political Development","A","Radha , Persaud"
"College universitaire Glendon","GL","An Introduction to Existentialism","PHIL","3220","3","An Introduction to Existentialism","M","Tony , Kostroman"
"College universitaire Glendon","GL","An Introduction to Spanish/English Translation: Pr","SP","3545","3","Intro to Spanish/English Translation","A","Martin , Boyd"
"College universitaire Glendon","GL","Analyse Complexe","MATH","4230","6","Analyse Complexe","A","Hassan , Harb"
"College universitaire Glendon","GL","Ancient Ethical and Political Theory","PHIL","2633","3","Ancient Ethical and Political Theory","M","Sam , Steadman"
"College universitaire Glendon","GL","Animal Communication and Sensory Ecology","BIOL","4215","3","Animal Communication & Sensory Ecology","A","Radu Cornel, Guiasu"
"College universitaire Glendon","GL","Animal and Environmental Ethics","PHIL","2614","3","Animal and Environmental Ethics","M","Imola , Ilyes"
"College universitaire Glendon","GL","Anishinaabemowin (Ojibway) Language and Culture I","LIN","2636","3","Anishinaabemowin I","A","Albert , Owl"
"College universitaire Glendon","GL","Anishinaabemowin (Ojibway) Language and Culture II","LIN","2638","3","Anishinaabemowin II","M","Albert , Owl"
"College universitaire Glendon","GL","Another End of The World is Possible: Emergent Pra","COMS","4209","3","Emergent Practices in Communications 2","M","Elena , Chou"
"College universitaire Glendon","GL","Applied Business Analytics","ILST","3645","3","Applied Business Analytics","M","Hossam , Ali-Hassan"
"College universitaire Glendon","GL","Apprendre en faisant / Less reading. more doing: W","COMS","3800","3","Work placement en milieu de travail I","A","Aurelia , Klimkiewicz"
"College universitaire Glendon","GL","Apprendre en faisant / Less reading. more doing: W","COMS","3800","3","Work placement en milieu de travail I","A","Valerie , Florentin"
"College universitaire Glendon","GL","Apprendre en faisant / Less reading. more doing: W","COMS","3800","3","Work placement en milieu de travail I","M","Valerie , Florentin"
"College universitaire Glendon","GL","Approaches to Theatre","DRCA","3955","6","Approaches to Theatre","A","Aleksandar , Lukac"
"College universitaire Glendon","GL","Art et Peinture","DRCA","2685","6","Art et Peinture","A","Julie , Rene de Cotret"
"College universitaire Glendon","GL","Attention! Introduction to Social Content Creation","COMS","2300","3","Introduction to Social Content Creation","A","Aurelien , Muller"
"College universitaire Glendon","GL","Becoming a Scholar: Glendon and You","CORE","1630","3","Becoming a Scholar: Glendon and You","F","Audrey , Pyee"
"College universitaire Glendon","GL","Becoming a Scholar: Glendon and You","CORE","1630","3","Becoming a Scholar: Glendon and You","G","Lee , Frew"
