"FACULTY","FACULTY_ABREV","FACULTY_SHORT","PERIODFACULTY","SUBJECT_ABREV","SUBJECT_ABREV2","SUBJECT","ACADEMICYEAR","STUDYSESSION","CRSID","COURSETITLE","COURSETITLE1","COURSE_NUMBER","YEAR_LEVEL","CREDIT","SECTION","INSTRUCTOR_NAME"
"Faculty of Health","HH","Health","HH","COOP","COOP","COOPERATIVE EDUCATION","2025","FW","HH/COOP 2999   3.00","Preparing for Co-op Work in Health and Health-related Environments","Preparing for Co-op Work in Health and Health-rela","2999","2","3","A"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","A"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","A","Amrita Daftary"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","A","Godfred Boateng"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","A","Mathieu Poirier"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","B"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","B","Amrita Daftary"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","B","Godfred Boateng"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","B","Mathieu Poirier"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","M"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","M","Amrita Daftary"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","M","Godfred Boateng"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   3.00","Independent Study","Independent Study","4000","4","3","M","Mathieu Poirier"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   6.00","Independent Study","Independent Study","4000","4","6","A"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   6.00","Independent Study","Independent Study","4000","4","6","B"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4000   6.00","Independent Study","Independent Study","4000","4","6","M"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4010   3.00","Global Health Ethics","Global Health Ethics","4010","4","3","A"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4010   3.00","Global Health Ethics","Global Health Ethics","4010","4","3","A","Marnina Norys"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4010   3.00","Global Health Ethics","Global Health Ethics","4010","4","3","A","Adrienne Shnier"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4510   3.00","Global Health and Human Rights","Global Health and Human Rights","4510","4","3","M"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4510   3.00","Global Health and Human Rights","Global Health and Human Rights","4510","4","3","M","Adrienne Shnier"
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4920   3.00","Selected Topics in Social Determinants of Global Health","Selected Topics in Social Determinants of Global H","4920","4","3","A"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4920   3.00","Selected Topics in Social Determinants of Global Health","Selected Topics in Social Determinants of Global H","4920","4","3","B"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2024","SU","HH/GH   4920   3.00","Selected Topics in Social Determinants of Global Health","Selected Topics in Social Determinants of Global H","4920","4","3","C"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2025","FW","HH/GH   1001   3.00","Anatomy & Physiology for Human Health I","Anatomy & Physiology for Human Health I","1001","1","3","A"," "
"Faculty of Health","HH","Health","HH","GH","GH","GH - GLOBAL HEALTH","2025","FW","HH/GH   1001   3.00","Anatomy & Physiology for Human Health I","Anatomy & Physiology for Human Health I","1001","1","3","A","Jonathan Memme"
